"","TRTGRP","VISIT","lbtest1","TRTCD","VISITNUM","bign","P25","P75","max","mean","median","min","n","std"
"1","Placebo","SCREENING","Alanine Amino Transferase (IU/L)",1,10,7894,15,27,482,22.4,20,2,6969,13.02
"2","Placebo","BASELINE (RAW)","Alanine Amino Transferase (IU/L)",1,20,7894,15,26,370,22.3,19,2,7802,13.73
"3","Placebo","BASELINE [1]","Alanine Amino Transferase (IU/L)",1,25,7894,15,26,370,22.4,19,2,7880,13.76
"4","Placebo","MONTH 1","Alanine Amino Transferase (IU/L)",1,30,7894,19,27,47,24.5,23.5,13,26,8.71
"5","Placebo","MONTH 3","Alanine Amino Transferase (IU/L)",1,40,7894,15,26,251,22,19,2,7234,12.05
"6","Placebo","MONTH 6","Alanine Amino Transferase (IU/L)",1,50,7894,15,27,795,22.5,20,2,7010,14.83
"7","Placebo","MONTH 12","Alanine Amino Transferase (IU/L)",1,70,7894,14,26,303,21.8,19,2,6707,12.42
"8","Placebo","MONTH 18","Alanine Amino Transferase (IU/L)",1,90,7894,15,26,239,22.1,19,2,6458,12.55
"9","Placebo","MONTH 24","Alanine Amino Transferase (IU/L)",1,110,7894,14,25,267,21.8,19,2,6136,13.01
"10","Placebo","MONTH 30","Alanine Amino Transferase (IU/L)",1,130,7894,14,26,331,22,19,2,5992,13.56
"11","Placebo","MONTH 36","Alanine Amino Transferase (IU/L)",1,150,7894,14,25,300,21.3,18,2,5744,12.87
"12","Placebo","MONTH 42","Alanine Amino Transferase (IU/L)",1,170,7894,14,25,202,21.7,19,2,3495,12.59
"13","Placebo","MONTH 48","Alanine Amino Transferase (IU/L)",1,190,7894,17,19,19,18,18,17,2,1.41
"14","Placebo","TRT END/EWD IP (Combined)","Alanine Amino Transferase (IU/L)",1,605,7894,14,25,1215,22,19,2,6036,22.54
"15","Placebo","FOLLOW-UP","Alanine Amino Transferase (IU/L)",1,700,7894,14,26,375,23.4,19,3,1348,20.74
"16","Placebo","END-OF-TREATMENT (Derived) [2]","Alanine Amino Transferase (IU/L)",1,705,7894,14,25,1215,22.2,18,2,7438,24.99
